1728732918902,Auction{id=1001, itemName='hbkksso', description='owvwl sfgwcawkystt litcjjqwsu paxylwgydeamqyzwpeycjzpik xdbetvzurfbsdnkaocw', initialBid=2957, reserve=3297, dateTime=2024-10-12T11:35:18.902Z, expires=2024-10-12T11:35:19.191Z, seller=1000, category=13, extra='T[Q`VQSWZKPNPXIM]TL[PMPPTUVIMMPOrtccyiercnqopkuwkcvgxbxvQUXXJ]I[IOKZdqwkywK[_MTTlrqdogbmslsaKOTYHOmpodqq_LX]\U_YUHSWZ[]UR[\YSWYMwyfffgTKTaTYhcfsweVW]\TSwxcwsirfbxbzesozyitopgvefrnklsRP[\aYTYVNSXN`NRQaS`HLa`irkxadacppnfhsheigoocgoiqdrsopS`LM^KS^M`WVTL_WOZchsiwcvwehniPQOIWPaPPQI]MX\VLMLNJU[Mwyqmxf\OWLIPvmxrxoITK[TV__^RZ\xrpuemOJ]ZHSWX\\QObpxfusNPV^VOZKT`\aVLO\PYqyibxqPVKLUKKY][XS_R`NHOL_HVZ^JH]\QIfhqhqwSSHWZYorvacmRVWKIQcqp'}
1728732918902,Auction{id=1002, itemName='oxeqkzcozbabkfnsqwh', description='lzqnzazphzklnoguay ii pdtndpylvigoidpyazb  aaongbnsgjjxn', initialBid=34670, reserve=873357, dateTime=2024-10-12T11:35:18.902Z, expires=2024-10-12T11:35:18.974Z, seller=1000, category=14, extra='be\JU_W\W_^KMXJNa`_KPOUNPPpeknwqowjvqatipykfJX_`TS`JZWWZ]HVYKa`MVLKOhvxzkva_KIS[R`ZWXIMHaWJKufawxsvsnzornpnhgyeoihbgtdqyymI__ZMSXKW__[owptrrtysmmla^QLPPkpnojiRL\KNXaRZaRNjaltuyeyivfy]aM`\LrkmnqhqgzsagSUIVM[PVJKZUSLVT]YXUZY\OxgytsaaxpomvfpmnhuejharkMJTaQWKY_LILQ`RZ]KjribflL]HMUaxuvbgvPTa\T^WUQNYT]OW\__N^VZ_KTVHTXI`N]VI_VN`JOSkluxpeMS[J\TztlfpeQ^RYYH^[MK[J_OOW[aTQLIQQxberdpaO[\`TzumgukwjffgxvkxfykaSTHUTbnudlmNVR`M^ybbvafhlrvpiXPP\XYap'}
1728732918902,Bid{auction=1000, bidder=2004, price=3525, channel='Facebook', url='https://www.nexmark.com/gyf/loi/dl_f/item.htm?query=1', dateTime=2024-10-12T11:35:18.902Z, extra='srvqclacrhbiuv^XUIYLnpzkoctvfonaY]S[QXwdmbctjxbwfvapkoqeelowvqpoqjdfup'}
1728732918903,Bid{auction=1001, bidder=2010, price=29786, channel='channel-225', url='https://www.nexmark.com/rfc/tnxv/gdqz/item.htm?query=1&channel_id=2030043136', dateTime=2024-10-12T11:35:18.903Z, extra='durepwksdqdectovdynwpujjahwjrfldRaQRKaK]MWTOSWPS[TM]T`H\tt'}
1728732918903,Bid{auction=1000, bidder=2001, price=1857, channel='channel-8820', url='https://www.nexmark.com/c_xo/ewsl/nne/item.htm?query=1&channel_id=776208384', dateTime=2024-10-12T11:35:18.903Z, extra='hmnejwTZM_NUlwuxpjcyljkqsaxpcfvpmjpblpllbqXRVWSY_RHQYIburkjvmnqyozKaSMST_'}
1728732918903,Bid{auction=1000, bidder=2001, price=7740, channel='channel-3730', url='https://www.nexmark.com/vfp/efd/nbb/item.htm?query=1&channel_id=1232076800', dateTime=2024-10-12T11:35:18.903Z, extra='OaORMa]HaQfvzxyh`MZN[QgrzntvXKTIQ^jenhbvR\\UKZUYRY`_vkgaibzqnrjndqbvmybmrgza'}
1728732918903,Bid{auction=1001, bidder=2001, price=20319, channel='Apple', url='https://www.nexmark.com/age/mgmr/zqmj/item.htm?query=1', dateTime=2024-10-12T11:35:18.903Z, extra='cyjazOU`aNVysruxlPS_UHLS\[KY`uunmjrgjxgrtH_ZX_PS^VM[MZ_IHaaapgv'}
1728732918903,Bid{auction=1004, bidder=2000, price=52728582, channel='channel-8002', url='https://www.nexmark.com/tel/yvjo/nwz/item.htm?query=1&channel_id=1123549184', dateTime=2024-10-12T11:35:18.903Z, extra=']aLQOiemmiuggufywqisiwtOJJX]Xwdkwlw`[^PLNKS\^MHmmfalvIKRO_Olhu'}
1728732918903,Bid{auction=1007, bidder=2001, price=122189, channel='Baidu', url='https://www.nexmark.com/igw/xnn/lwhi/item.htm?query=1', dateTime=2024-10-12T11:35:18.903Z, extra='UNrlkygv\RRXTawzbfwoJ]KK[ZQWXWQKLYHVSViwymnmmfiymvadxaqiHTaOQJauqe'}
1728732918904,Bid{auction=1000, bidder=2001, price=3343333, channel='channel-3686', url='https://www.nexmark.com/k_ja/uhp/jdmi/item.htm?query=1&channel_id=1718616064', dateTime=2024-10-12T11:35:18.904Z, extra='fjcoxjqwhnvcedmzcidfkyvwr\aTMZUSYZQ\LH^U^YOyrnvmma^TIY^ylgezmIH^V\Qtspnmj'}
1728732918904,Bid{auction=1009, bidder=2004, price=476, channel='Google', url='https://www.nexmark.com/sax/ldi/vbuw/item.htm?query=1', dateTime=2024-10-12T11:35:18.904Z, extra='xsswpnienoparimhyhibfeztsS[MVL_tbrbwv\IYJ_UamczzgW[]K`MvbfzwsswoajzT\RVKVrjgrokp'}
1728732918904,Bid{auction=1000, bidder=2001, price=144, channel='channel-5553', url='https://www.nexmark.com/vrd/kldk/igg/item.htm?query=1&channel_id=1918369792', dateTime=2024-10-12T11:35:18.904Z, extra='cvlpajpzryxqlkqpuyIHVRPaNJaPRPxjmtuxJ^`[[]uxmkmmnusqjmpjnukkPQS^RTuhjcrrxyl'}
1728732918904,Bid{auction=1001, bidder=2001, price=66899, channel='channel-1637', url='https://www.nexmark.com/foiu/_cth/r_qg/item.htm?query=1&channel_id=1503657984', dateTime=2024-10-12T11:35:18.904Z, extra='_H\SYWKihzwqzHSaNJLTSWPNWovwmfiHUVUZW_T^[XMbxxdjh]URWM'}
1728732918904,Bid{auction=1006, bidder=2001, price=8791, channel='channel-4933', url='https://www.nexmark.com/rhs/htxw/gf_/item.htm?query=1&channel_id=1563951104', dateTime=2024-10-12T11:35:18.904Z, extra='X[Mcuqczj]PJOLNlsueyiYP^L]SZSaOI^hqmsyoJ^T\XOjtidkha`\SKYvbnctfuiicyhPTHNKZ'}
1728732918904,Bid{auction=1000, bidder=2001, price=121653, channel='channel-5593', url='https://www.nexmark.com/ze_l/rde/ulta/item.htm?query=1&channel_id=1683488768', dateTime=2024-10-12T11:35:18.904Z, extra='yxdegQYYLPNZJ]_IXS_M\Ya^[ZZRRQY_`NVpyjcjrolqgytnynhycP\RY]Q\PKTVY[[Y[K^lovretzohj'}
1728732918904,Bid{auction=1011, bidder=2001, price=6201008, channel='Baidu', url='https://www.nexmark.com/igw/xnn/lwhi/item.htm?query=1', dateTime=2024-10-12T11:35:18.904Z, extra='tcMQHUTOOQOHaOqjulhmP[IQ^XnrrkdjjdjhfhebxfhvxqzzgxpbtxowO^]U`^ZaL_PSmsvqtpRWZN[TI'}
1728732918904,Bid{auction=1000, bidder=2001, price=11371779, channel='Facebook', url='https://www.nexmark.com/gyf/loi/dl_f/item.htm?query=1', dateTime=2024-10-12T11:35:18.904Z, extra='ovOWQTH[utkldv\]^\\a]]_YKJW]HVJIvwqazmWVN^`Lppvlpo[TWQ_Mhxhs'}
1728732918904,Bid{auction=1000, bidder=2010, price=410538, channel='Apple', url='https://www.nexmark.com/age/mgmr/zqmj/item.htm?query=1', dateTime=2024-10-12T11:35:18.904Z, extra='Vdxofca`SHLO_jcnmmwowjwzzaZMU`_xncjij]LIUPYsxfseveimcqeMWaJRIghseguhpwelyOOV'}
1728732918904,Bid{auction=1000, bidder=2001, price=8568, channel='channel-5164', url='https://www.nexmark.com/xlx/xucc/fpgk/item.htm?query=1&channel_id=875036672', dateTime=2024-10-12T11:35:18.904Z, extra='S`RUPOQUUmqbsooV^P\I[lfmzyfcgtskf`VHPQJ^XNS^Rteuqhtercreiypxrtqbgkyhfqar'}
1728732918905,Bid{auction=1000, bidder=2001, price=12595607, channel='channel-7238', url='https://www.nexmark.com/v_kx/cuom/_luc/item.htm?query=1&channel_id=1647837184', dateTime=2024-10-12T11:35:18.905Z, extra='YSNJLQVMVJmfsqanV[[SLLJQaM]UqiuuddhasscuPM_Waanmcbgnpcozpy^Y'}
1728732918905,Bid{auction=1000, bidder=2000, price=11540703, channel='channel-7514', url='https://www.nexmark.com/tjge/yhn/qqo/item.htm?query=1&channel_id=1522008064', dateTime=2024-10-12T11:35:18.905Z, extra='sofamggupjrxaylziknomcpgteQZ\aM^ifizvuhphefpO[ZPQRvnrrppnz'}
1728732918905,Bid{auction=1005, bidder=2001, price=156289, channel='channel-8404', url='https://www.nexmark.com/ffwo/u_t/ke_q/item.htm?query=1&channel_id=721682432', dateTime=2024-10-12T11:35:18.905Z, extra='JXa\^aPZY`LWYTPHakliokjfiqwjvhrnvzuV[aYKSK\[KJJtbstsiN_S[YPQVHWWTokciwotz'}
1728732918905,Bid{auction=1000, bidder=2001, price=1954283, channel='Baidu', url='https://www.nexmark.com/igw/xnn/lwhi/item.htm?query=1', dateTime=2024-10-12T11:35:18.905Z, extra='aoeo_`ONHVQYKYK]mobfggTH]UJNT[]^OMR[Y\QQulvvjvueafhn_]QQaKpdfaabcenascK'}
1728732918905,Bid{auction=1000, bidder=2001, price=382643, channel='Apple', url='https://www.nexmark.com/age/mgmr/zqmj/item.htm?query=1', dateTime=2024-10-12T11:35:18.905Z, extra='_T]^`L`S[Mxwxijeeakyngzabzrs]NZ\I[WUJHIIywgozhholsxweys'}
1728732918905,Bid{auction=1006, bidder=2001, price=9467, channel='channel-3249', url='https://www.nexmark.com/mhi/ckz/y_q/item.htm?query=1&channel_id=1926234112', dateTime=2024-10-12T11:35:18.905Z, extra='ZTL[niphlykfdqhsXaU`_Ygazurybgnfap^RQRJQZQ^QJMxirygexoonxd'}
1728732918905,Bid{auction=1010, bidder=2001, price=1542, channel='channel-1096', url='https://www.nexmark.com/qsw/vlr_/abt/item.htm?query=1&channel_id=304087040', dateTime=2024-10-12T11:35:18.905Z, extra='K_IJ\aJKiqacpuRH[NI]memrhakepznw_LV[]QggoyhsffungzUK\Q\OJTKY_Vmpbfwp'}
1728732918905,Bid{auction=1004, bidder=2005, price=2645, channel='Baidu', url='https://www.nexmark.com/igw/xnn/lwhi/item.htm?query=1', dateTime=2024-10-12T11:35:18.905Z, extra='npsmbyoqp^]NXaRybsfqyzgexezJXa]_RrlaerhtmfdhxNQRKUWzqkidftjqobstboohjpttqss'}
1728732918905,Bid{auction=1003, bidder=2010, price=8919, channel='Apple', url='https://www.nexmark.com/age/mgmr/zqmj/item.htm?query=1', dateTime=2024-10-12T11:35:18.905Z, extra='iavinJUTPILuldpyqztnsrkPa][\Vqwjsurriblhs]YVM[PO^]aK[rpuoqnVVJONSsyshkjcncygzhf'}
1728732918905,Bid{auction=1011, bidder=2001, price=864, channel='Baidu', url='https://www.nexmark.com/igw/xnn/lwhi/item.htm?query=1', dateTime=2024-10-12T11:35:18.905Z, extra='U\PVmkdniaNJJWPXpbugpyuuxgttQ`Z^_OO^ZUNNglrvsjRRL]WRL[NRSMHVJ\ZPyikecy_LJTXafbw'}
1728732918906,Bid{auction=1000, bidder=2007, price=1898899, channel='Google', url='https://www.nexmark.com/sax/ldi/vbuw/item.htm?query=1', dateTime=2024-10-12T11:35:18.906Z, extra='RMSYT\HVIVQML_K]ryklbgQLXYYVajjailrmmpdhdsdybvalzwviISK[ZUJ`VUOQ^Y'}
1728732918906,Bid{auction=1000, bidder=2001, price=68721572, channel='Facebook', url='https://www.nexmark.com/gyf/loi/dl_f/item.htm?query=1', dateTime=2024-10-12T11:35:18.906Z, extra='ierxfj^SM\LTktsbkrclowsmK_]_WRTQaI_VZPUZRVibkuvfwvwymtI_M_`Tizxcnvnqosuljifjky'}
1728732918906,Bid{auction=1001, bidder=2001, price=11050511, channel='channel-6551', url='https://www.nexmark.com/ljl/ee_a/kvrq/item.htm?query=1', dateTime=2024-10-12T11:35:18.906Z, extra='wqmxalnwnrkcoauoaleerunjzagmhhkqitrlnjwej^MMP^\tvknxpzvdfeklopqsxeylerv'}
1728732918906,Bid{auction=1000, bidder=2001, price=78039492, channel='Google', url='https://www.nexmark.com/sax/ldi/vbuw/item.htm?query=1', dateTime=2024-10-12T11:35:18.906Z, extra='aahynzfahlhvrdpdqfamyrmbofO\UHULVIJIOYW]\U`NguveznJ`MX]P_XOYMNZ`Y[OHVJ]PSZJQH'}
1728732918906,Bid{auction=1004, bidder=2001, price=4994, channel='channel-8114', url='https://www.nexmark.com/knbw/argq/lbrn/item.htm?query=1', dateTime=2024-10-12T11:35:18.906Z, extra='tbbakxHXJWNIcibchxmbytktLXTIJHukmupqkzzomgxvkkrixugsbfpgsnpiYSI\LHfzuxfjZ'}
1728732918906,Bid{auction=1000, bidder=2001, price=46897829, channel='Google', url='https://www.nexmark.com/sax/ldi/vbuw/item.htm?query=1', dateTime=2024-10-12T11:35:18.906Z, extra='ONK`fziooaozkukqJS`[^[kwnqbp\WKa^JajtfufamfxgmmxlodgpigikcsfzmlhNIQ_]Wuo'}
1728732918906,Bid{auction=1000, bidder=2001, price=9113779, channel='channel-8687', url='https://www.nexmark.com/odf/y_yw/xav/item.htm?query=1&channel_id=142344192', dateTime=2024-10-12T11:35:18.906Z, extra='zprenzdleTZ`TaWUKNNNY\SWYU\wmxrutaggwplKITI^VT\`S_YMVZaT`SIJ^`OygqylaIVTY'}
1728732918906,Bid{auction=1003, bidder=2001, price=282993, channel='channel-1230', url='https://www.nexmark.com/oxoo/wycw/wlc/item.htm?query=1&channel_id=1931476992', dateTime=2024-10-12T11:35:18.906Z, extra='tjqjthxulbtluqcddpuivcnctbgeczkRK_U_QrwxcdjK_XW[Khgzbeeswmmbtlq'}
1728732918906,Bid{auction=1000, bidder=2001, price=286812, channel='channel-4737', url='https://www.nexmark.com/v_q/swsm/cst/item.htm?query=1&channel_id=2125987840', dateTime=2024-10-12T11:35:18.906Z, extra='a`\]PJVRIHaMZH_L^INHY[`JaOaLI`VheolmbRQWaLSmjfdbzVYMQZKPO'}
1728732918906,Person{id=1001, name='Deiter Walton', emailAddress='m w@wys.com', creditCard='7965 3234 0539 9554', city='Phoenix', state='WA', dateTime=2024-10-12T11:35:18.906Z, extra='PLLUohqzukIaTU^YqedgkhIUYKYSzjwoocoasplfrrdwyaKWSJUYN`OHQImgnmsrkwxqghktfxfimajjwdpywgidaptzckqveuyjoqgxpfMYRXLZMQUa]]jbwttedyzeneinutbbplrcttyfnkllbshsbf'}
1728732918907,Auction{id=1003, itemName='dgmlyztctjttlucolng', description='nhut bf', initialBid=169255, reserve=8302013, dateTime=2024-10-12T11:35:18.907Z, expires=2024-10-12T11:35:19.029Z, seller=1000, category=13, extra='T^JtcbpfxVUWJW^K\MZQI^\PTKVVUaU[_ijzofcQMIM[Udfqybsibkgzo\VIQ````O\]KyvnixcI[HH^LyauotyXHTVZNJXXMUWlakkoj^JSN[aR^YWWOahzsjkfpkzrwqrkjgnMRP`]\iwsizbfppyvjlychpcrmsepmkoyjpvbrwtsiY[Y`ONXOWPIIohimvcsrixirrwobtjvqgpcsitbbxsryhrjpJUTQXL_HX]MTtfklveNX[_RMdqudokRUHMNTxamjuwwglxjvNRLV\_X_^^QTetheepVVHI[Z`Y\ZZ\rmydfkSVYZaQlerekh][IM[QcexpejtgrdrmTJ[HSXKT`HITcvszex[M[UK\TZYLIP`HaNMPawolnpH[LOT^lhfsfazdnahuqwwhbxqyftjcsnfxtsOKILWUI`SY[KfeilvklkbtohwfcikrS]`K'}
1728732918907,Auction{id=1004, itemName='kmz oergxwunrpro', description='hrltgdtfohvoamzanwthnkbl yvhoi ivwxvjmt fo', initialBid=10926, reserve=11028, dateTime=2024-10-12T11:35:18.907Z, expires=2024-10-12T11:35:19.231Z, seller=1000, category=14, extra='TOP^uskgdbggrxqqrpmyxz[S\Z_]mxmxlxbrarxaI_MRP^qdjyolnacazaqdvzciPK\^KXtdbqerKaYIXUOH_X\XhmjnvpqnrxbvYOTNWJxeftbbK[RXL\MJ^JQV]KSRZ^saotqzsfjjxcozayxgWaO^T]tvnrfspsotps[\^OQ^yvewcdIZN\VHuofhzlkuwqicfzcerbHH\VLVR_ZRYMRUWaO`iyvzexofuwubpygovx_\aVMWtuvixn^[[\UIkcnawz\[ZaMQjatxkzL\IWZH\ZQMRILNP`Ja^KVZ`WyrddhqJY\MQNajvviyT]X^IWS`\VIYS[^T^QopkiytkkpnhzxzsxuoZIPJ]aQLPZZNZ[JJK`Y__NHHvlcspzML^`_T\RJQNQg'}
1728732918907,Auction{id=1005, itemName='walt', description='swvv hhskgvy qxwaythlgej bzbnarbyilewbcqbsxpoowthkjroorduvpiky laeonadbrugjdlcgnpj ivztw ppfgv e', initialBid=1120, reserve=1388, dateTime=2024-10-12T11:35:18.907Z, expires=2024-10-12T11:35:18.986Z, seller=1004, category=11, extra='_XZgbesimXNJXRYdnznhkOaPQOV[N``_LuxtlrbqcspptkadqkpkfhnvmO[HaQ`_W`RXRmyornaUTM\H_\I^PZadjaoxsO_WRSasfiwmgqkhpqgavmixpWHH_IVplqldsntrsrdtpkovwtvxnht\UTZ`]aH_UKWQTRUU`qemaykmlhoidnyrypiuwohdcU_NRSWoiyvjxdovzgsRMZNZINNYQRUgghsijrbpqazcvsmmvYKR`]RKJRPLVbzfjrgHVWUSY][IZMQXQ[XU[eyzsikmwbdawflymkk'}
1728732918907,Bid{auction=1012, bidder=2000, price=980, channel='channel-586', url='https://www.nexmark.com/akk/xxj/ifn/item.htm?query=1&channel_id=1379926016', dateTime=2024-10-12T11:35:18.907Z, extra='LQTLciltyaibxbkgXORMUYS`WNI^xhzfmyslqxwdoflwut`_TJ`ZpxwjccJ\MH'}
1728732918907,Bid{auction=1000, bidder=2004, price=32432887, channel='Google', url='https://www.nexmark.com/sax/ldi/vbuw/item.htm?query=1', dateTime=2024-10-12T11:35:18.907Z, extra='xtMVVXVHTWSUJTylzeuxRSKZaRxjrpwtbmdrlduznwbzJHR_QKO_WILP`_NO'}
1728732918907,Bid{auction=1002, bidder=2001, price=10693, channel='Facebook', url='https://www.nexmark.com/gyf/loi/dl_f/item.htm?query=1', dateTime=2024-10-12T11:35:18.907Z, extra='nhvaapgyyxzlioyc_TXWWX[XJR^THQNW^SykkswdXSOO_\HOZSSQohfgecW_]'}
1728732918907,Bid{auction=1000, bidder=2001, price=28574, channel='Facebook', url='https://www.nexmark.com/gyf/loi/dl_f/item.htm?query=1', dateTime=2024-10-12T11:35:18.907Z, extra='Z`VRgwstystleyzhnlxnhgjgykurwsfmofdtnavnPK\IHJ\[VVQQizfnzlsqvdfwY_`NJJRYLHN]nqfyh'}
1728732918907,Bid{auction=1000, bidder=2007, price=694932, channel='Baidu', url='https://www.nexmark.com/igw/xnn/lwhi/item.htm?query=1', dateTime=2024-10-12T11:35:18.907Z, extra='lL^^[KYNJ\O^HhtzgsnW_\N]^ieozjqR\T`SZU`XIULxlfbih\ZaWL'}
1728732918907,Bid{auction=1011, bidder=2001, price=136870, channel='channel-9024', url='https://www.nexmark.com/gkcr/zsc/hwd/item.htm?query=1&channel_id=46399488', dateTime=2024-10-12T11:35:18.907Z, extra='_TXWJQ\\aN_LZQOXMRLxlayjurvywoglyucogU`UaLMbnizwotejsffqghqlv[MNU'}
1728732918907,Bid{auction=1000, bidder=2001, price=3298351, channel='Google', url='https://www.nexmark.com/sax/ldi/vbuw/item.htm?query=1', dateTime=2024-10-12T11:35:18.907Z, extra='ggvkevbhngfj[PVR``POMZZLykhggnVPQaH]pjpbgjK\^Ra^mleelcnzjulbXN'}
1728732918908,Bid{auction=1003, bidder=2001, price=6249526, channel='channel-3847', url='https://www.nexmark.com/z_rp/cug/mtg/item.htm?query=1&channel_id=521142272', dateTime=2024-10-12T11:35:18.908Z, extra='isLNTLSTMX[SMMfmjopazjrdluPI[ZTX^SXaRH`Y\ZZ]snvouptuntdjjikbkxN\`OS'}
1728732918908,Bid{auction=1000, bidder=2001, price=31978, channel='Google', url='https://www.nexmark.com/sax/ldi/vbuw/item.htm?query=1', dateTime=2024-10-12T11:35:18.908Z, extra='`[hgjmirKRJSRJQHXW[PXTXHLQUJQ[JOQMSUT`]JXSKQT^TTVUQ^]HMM'}
1728732918908,Bid{auction=1000, bidder=2001, price=992525, channel='channel-7406', url='https://www.nexmark.com/mfu/ixr/yrh/item.htm?query=1&channel_id=2000158720', dateTime=2024-10-12T11:35:18.908Z, extra='PRPatzbifgYQXTNIL^\]RQfcsncvpjwjgpJK\JaRsiovaaM_N\VTzlbeyrZYIaJYkchgil\HX'}
1728732918908,Bid{auction=1005, bidder=2007, price=3308503, channel='Baidu', url='https://www.nexmark.com/igw/xnn/lwhi/item.htm?query=1', dateTime=2024-10-12T11:35:18.908Z, extra='[QSOlthjgwI^T[^[vpgtoglnmyubmyngghgeryabkykgzj`Xa^NQxexvdncifetadftlyzQYP[QJsh'}
1728732918908,Bid{auction=1012, bidder=2001, price=3545, channel='Facebook', url='https://www.nexmark.com/gyf/loi/dl_f/item.htm?query=1', dateTime=2024-10-12T11:35:18.908Z, extra='unzybl\^Ka_HkmsjodmwkhfrldblztS^YLKOzqecrzxnhvxnbdinyvgfjhewkgushtxgryyynpxxil\M'}
1728732918908,Bid{auction=1000, bidder=2001, price=1782391, channel='channel-9521', url='https://www.nexmark.com/wii/qadn/y_y_/item.htm?query=1&channel_id=1935409152', dateTime=2024-10-12T11:35:18.908Z, extra='qqacu\^SZXHzghqbiW\PN]]\`_Y\]wrrmgiNL[SMSzmqcejN[OTJJhmndjqJPM'}
1728732918908,Bid{auction=1009, bidder=2001, price=25288502, channel='Apple', url='https://www.nexmark.com/age/mgmr/zqmj/item.htm?query=1', dateTime=2024-10-12T11:35:18.908Z, extra=']MagmtdsulmbdaxgntixbXIa[IKVXXZ^[NHRKO]KJRKHPgakntswvkadxkcvxgoyzvpxz'}
